"time_group1","strain_group1","time_group2","strain_group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"0","PAO1 control","0","PAO1 pre-treated",0,-389999.999999975,-4801667.22949844,4021667.22949849,1,"ns"
"0","PAO1 control","1","PAO1 pre-treated",0,18660000,14248332.7705016,23071667.2294985,0,"****"
"0","PAO1 control","10","PAO1 pre-treated",0,15426666.6666667,11014999.4371682,19838333.8961651,0,"****"
"0","PAO1 control","30","PAO1 pre-treated",0,5160000.00000002,748332.770501554,9571667.22949848,0.00781,"**"
"0","PAO1 control","60","PAO1 pre-treated",0,-156666.666666646,-4568333.89616511,4255000.56283182,1,"ns"
"0","PAO1 control","120","PAO1 pre-treated",0,-1934999.99999998,-6346667.22949845,2476667.22949848,0.987,"ns"
"0","PAO1 control","240","PAO1 pre-treated",0,-2262333.33333332,-6674000.56283178,2149333.89616515,0.937,"ns"
"0","PAO1 control","360","PAO1 pre-treated",0,-2270333.33333331,-6682000.56283178,2141333.89616515,0.935,"ns"
"0","PAO1 control","0","PA3554",0,-1173333.33333332,-5585000.56283178,3238333.89616515,1,"ns"
"0","PAO1 control","1","PA3554",0,-1759999.99999998,-6171667.22949845,2651667.22949848,0.996,"ns"
"0","PAO1 control","10","PA3554",0,-1773333.33333331,-6185000.56283178,2638333.89616515,0.996,"ns"
"0","PAO1 control","30","PA3554",0,-2243333.33333332,-6655000.56283178,2168333.89616515,0.942,"ns"
"0","PAO1 control","60","PA3554",0,-2273333.33333332,-6685000.56283178,2138333.89616515,0.935,"ns"
"0","PAO1 control","120","PA3554",0,-2273333.33333332,-6685000.56283178,2138333.89616515,0.935,"ns"
"0","PAO1 control","240","PA3554",0,-2273333.33333332,-6685000.56283178,2138333.89616515,0.935,"ns"
"0","PAO1 control","360","PA3554",0,-2273333.33333332,-6685000.56283178,2138333.89616515,0.935,"ns"
"1","PAO1 control","0","PAO1 pre-treated",0,-1533999.99999999,-5945667.22949845,2877667.22949848,0.999,"ns"
"1","PAO1 control","1","PAO1 pre-treated",0,17516000,13104332.7705016,21927667.2294985,0,"****"
