Accession,UniP entry,Gene,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fold change ( CL/LB),log2FC (Cl/LB),Highest mean condition,Lowest mean condition,Mass,Description,Treatment,CL1,CL2,CL3,CL4,CL5,LB1,LB2,LB3,LB4
tr|Q9HTI3|Q9HTI3_PSEAE,Q9HTI3,PA5381,1,1,26.63,2.14754E-11,9.68953E-09,Infinity,1,0,,LB,CL,13396,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5381 PE=4 SV=1,Q9HTI3,0,0,0,0,0,136313.8464,106482.972,114315.3989,57607.56704
tr|G3XCX0|G3XCX0_PSEAE,G3XCX0,PA3789,1,1,19.21,4.04849E-08,1.66059E-06,Infinity,1,0,,LB,CL,52256,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3789 PE=4 SV=1,G3XCX0,0,0,0,0,0,9641.116557,10009.92181,8270.105481,1699.260979
tr|Q9I5X3|Q9I5X3_PSEAE,Q9I5X3,PA0563,1,1,20.69,2.10323E-07,3.029E-06,Infinity,1,0,,LB,CL,13342,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0563 PE=4 SV=1,Q9I5X3,0,0,0,0,0,11396.9891,8814.207538,11978.87817,1235.511729
tr|Q9I205|Q9I205_PSEAE,Q9I205,PA2110,1,1,21.21,0.020307309,0.006941295,Infinity,0.732238607,0,,LB,CL,33381,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2110 PE=4 SV=1,Q9I205,0,0,0,0,0,18656.23343,0,83.59044086,2393.268605
tr|Q9HU40|Q9HU40_PSEAE,Q9HU40,PA5144,1,1,13.74,0.292351992,0.065986536,Infinity,0.168686712,0,,LB,CL,14072,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5144 PE=4 SV=1,Q9HU40,0,0,0,0,0,0,0,9293.856247,0
tr|Q9HTP5|Q9HTP5_PSEAE,Q9HTP5,PA5309,1,1,30.88,0.407083822,0.087714064,Infinity,0.120434485,#DIV/0!,,CL,LB,48070,Probable oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5309 PE=4 SV=1,Q9HTP5,0,0,12687.99903,0,0,0,0,0,0
tr|Q9HX55|Q9HX55_PSEAE,Q9HX55,PA3961,1,1,18.48,0.001524272,0.000850112,85.41696623,0.989991023,85.41696623,6.4,CL,LB,92006,Probable ATP-dependent helicase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3961 PE=4 SV=1,Q9HX55,50113.91573,24350.09797,54301.27509,51922.23188,59967.07531,0,0,0,2253.927823
tr|Q9I4Y4|Q9I4Y4_PSEAE,Q9I4Y4,pyoS5,1,1,16.62,0.000111735,0.00012032,30.75905904,0.999997397,30.75905904,4.9,CL,LB,56040,Pyocin S5 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=pyoS5 PE=4 SV=1,Q9I4Y4,1098613.757,3979855.019,3379133.485,2520803.18,3543059.382,52629.80815,66140.9949,27646.91371,231265.2235
tr|Q9HY33|Q9HY33_PSEAE,Q9HY33,PA3593,2,1,40.22,0.000398287,0.000304583,19.63379982,0.99965046,19.63379982,4.3,CL,LB,64514,Probable acyl-CoA dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3593 PE=3 SV=1,Q9HY33,128594.3038,132509.4779,299322.6321,34057.01192,138751.6218,6054.766478,5651.534186,4285.275357,13884.86376
tr|Q9I325|Q9I325_PSEAE,Q9I325,pcrH,1,1,26.31,3.92764E-05,6.03732E-05,14.03272512,0.999999992,14.03272512,3.8,CL,LB,18510,Regulatory protein PcrH OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=pcrH PE=1 SV=1,Q9I325,107369.0857,38767.84416,69910.51987,48653.74624,64180.84086,2901.821524,8726.078156,3950.46797,3171.064641
