"Geneid","Chr","Start","End","Strand","Length","CL1","CL2","CL3","LB1","LB2","LB3"
"PA0001","NC_002516.2",483,2027,"+",1545,11480,16862,3367,11956,13530,15027
"PA0002","NC_002516.2",2056,3159,"+",1104,10103,16159,3072,10417,11540,15462
"PA0003","NC_002516.2",3169,4278,"+",1110,8024,12578,2644,9127,10056,6466
"PA0004","NC_002516.2",4275,6695,"+",2421,13551,22805,4768,12698,15438,12557
"PA0005","NC_002516.2",7018,7791,"-",774,2186,2802,690,2515,2270,1798
"PA0006","NC_002516.2",7803,8339,"-",537,2822,3382,982,3724,3622,1961
"PA0007","NC_002516.2",8671,10377,"+",1707,9744,11188,2527,19933,19171,13797
"PA0008","NC_002516.2",10434,12488,"-",2055,3266,4299,941,3469,3848,4370
"PA0009","NC_002516.2",12488,13435,"-",948,1395,2417,462,1347,1508,889
"PA0010","NC_002516.2",13540,14091,"+",552,679,1008,159,906,553,532
"PA0011","NC_002516.2",14235,15122,"+",888,6284,10214,2758,8419,10248,5936
"PA0012","NC_002516.2",15207,15473,"+",267,1506,1689,369,1860,1654,1550
"PA0013","NC_002516.2",15620,16273,"+",654,1206,1860,339,1550,1149,1054
"PA0014","NC_002516.2",16335,16607,"-",273,513,707,100,639,406,441
"PA0015","NC_002516.2",16900,17217,"-",318,1214,1605,485,1572,2128,2297
"PA0016","NC_002516.2",17366,18739,"-",1374,2865,3777,884,4097,3922,4489
"PA0017","NC_002516.2",18767,20071,"-",1305,762,759,234,946,932,792
"PA0018","NC_002516.2",20068,21012,"-",945,418,576,168,632,683,329
"PA0019","NC_002516.2",21067,21573,"-",507,10170,14632,2872,13827,14661,10596
"PA0020","NC_002516.2",21712,22737,"+",1026,3831,5912,1544,6473,6476,3815
"PA0021","NC_002516.2",22872,23960,"+",1089,202,203,43,262,167,255
"PA0022","NC_002516.2",24001,24558,"+",558,2274,1794,743,2620,3383,3233
"PA0023","NC_002516.2",24568,25545,"-",978,2934,3442,900,3117,3106,6275
"PA0024","NC_002516.2",25736,26653,"+",918,2186,2692,936,3378,4267,1222
"PA0025","NC_002516.2",26711,27535,"+",825,938,886,316,1404,1655,824
"PA0026","NC_002516.2",27646,28632,"+",987,4992,6072,1553,8950,8033,4416
"PA0027","NC_002516.2",28613,29899,"+",1287,3053,2956,932,3975,5045,3758
"PA0028","NC_002516.2",29896,30498,"+",603,342,366,72,287,335,316
"PA0029","NC_002516.2",30502,32055,"-",1554,575,583,129,707,558,613
"PA0030","NC_002516.2",32060,32983,"-",924,354,298,111,569,387,445
"PA0031","NC_002516.2",33000,34511,"-",1512,1222,1480,438,1612,1590,1303
"PA0032","NC_002516.2",34624,35538,"+",915,1160,1146,336,1534,1284,1221
"PA0032a","NC_002516.2",35549,35926,"+",378,1604,1893,555,2238,2105,2113
"PA0033","NC_002516.2",35905,36270,"-",366,1007,1171,352,1204,1104,1230
"PA0034","NC_002516.2",36278,36901,"-",624,544,826,118,836,415,371
"PA0035","NC_002516.2",37087,37893,"-",807,1183,1141,318,1495,1482,1419
"PA0036","NC_002516.2",37890,39098,"-",1209,2029,2301,583,2612,2327,2125
"PA0037","NC_002516.2",39202,40089,"+",888,365,521,101,527,343,318
"PA0038","NC_002516.2",40190,40405,"+",216,31632,36658,5579,28191,29725,28182
"PA0039","NC_002516.2",40589,40816,"+",228,39193,47766,7134,42707,47738,71758
"PA0040","NC_002516.2",41113,42801,"+",1689,886,1000,223,949,808,410
"PA0041","NC_002516.2",42914,53521,"+",10608,1298,1409,310,1655,1110,791
"PA0041a","NC_002516.2",54121,54822,"+",702,6,5,4,10,9,6
"PA0042","NC_002516.2",56546,56941,"+",396,1246,1676,338,1734,1457,1351
"PA0043","NC_002516.2",57212,58594,"-",1383,717,760,234,939,873,728
"PA0044","NC_002516.2",58786,60159,"+",1374,5678,9725,1538,2644,2584,1681
"PA0045","NC_002516.2",60656,61342,"+",687,814,1366,247,1113,440,365
"PA0046","NC_002516.2",61373,61726,"+",354,549,985,143,522,279,286
"PA0047","NC_002516.2",61879,62388,"+",510,469,420,187,543,462,491
"PA0048","NC_002516.2",62403,62786,"-",384,348,515,166,453,470,432
"PA0049","NC_002516.2",63068,64729,"-",1662,572,587,176,737,727,594
"PA0050","NC_002516.2",65339,65479,"+",141,8043,7501,3810,20967,27031,11649
"PA0051","NC_002516.2",66303,68135,"+",1833,7980,8908,2062,4859,5557,10127
"PA0052","NC_002516.2",68188,68616,"-",429,4126,3072,1050,4828,5968,6192
"PA0053","NC_002516.2",69056,69526,"+",471,0,3,0,0,0,1
"PA0054","NC_002516.2",69543,70091,"-",549,394,643,135,454,389,465
"PA0055","NC_002516.2",70130,70636,"-",507,987,1535,379,1225,1334,1060
"PA0056","NC_002516.2",70702,71622,"-",921,209,214,76,374,370,258
"PA0057","NC_002516.2",71730,72617,"+",888,362,381,92,679,467,367
"PA0058","NC_002516.2",72680,73384,"+",705,102,117,35,245,142,135
"PA0059","NC_002516.2",73468,73923,"+",456,21307,20265,3345,12652,14857,30924
"PA0060","NC_002516.2",74034,74267,"+",234,7248,5870,1392,4974,6058,10089
"PA0061","NC_002516.2",74279,74716,"-",438,2121,1899,600,2450,3082,2456
